,cell_type
27349,CD4+ Treg
27350,NK HSP+
27351,CD4+ Activated IEG
27352,CD4+ Activated IEG
27353,CD4+ Activated IEG
27354,CD8A+ Exhausted IEG
27355,CD14+/CD16+ Monocyte
27356,CD4+ Activated IEG
27357,CD8A+ Exhausted IEG
27358,CD8A+ Tissue-resident
27359,CD8A+ Exhausted IEG
27360,CD8A+ Exhausted IEG
27361,CD8A+ Exhausted IEG
27362,CD45- Myofibroblast
27363,CD45- Myofibroblast
27364,CD8A+ Exhausted
27365,CD8A+ Exhausted IEG
27366,CD45- Myofibroblast
27367,CD8A+ Exhausted IEG
27368,CD4+ Activated IEG
27369,CD8A+ Proliferating
27370,CD4+ Activated IEG
27371,CD14+/CD16+ Monocyte
27372,CD8A+ Tissue-resident
27373,CD4+ Activated IEG
27374,CD45- Myofibroblast
27375,CD4+ Activated IEG
27376,CD8A+ Exhausted IEG
27377,CD4+ Activated IEG
27378,CD8A+ Exhausted IEG
27379,CD8A+ Exhausted IEG
27380,CD4+ Activated IEG
27381,CD4+ Effector
27382,CD8A+ Exhausted IEG
27383,CD4+ Activated IEG
27384,CD45- Myofibroblast
27385,CD4+ Effector
27386,CD4+ Activated IEG
27387,CD8A+ NK-like
27388,CD4+ Activated IEG
27389,CD4+ Activated IEG
27390,CD4+ Activated IEG
27391,CD14+/CD16+ Monocyte
27392,CD8A+ Exhausted IEG
27393,CD45- Myofibroblast
27394,CD8A+ Tissue-resident
27395,CD4+ Activated IEG
27396,CD45- Myofibroblast
27397,CD4+ Activated IEG
27398,CD45- ccRCC CA9+
27399,CD4+ Activated IEG
27400,CD8A+ Exhausted IEG
27401,CD45- Myofibroblast
27402,CD4+ Activated IEG
27403,CD4+ Activated IEG
27404,CD8A+ Exhausted IEG
27405,CD8A+ Exhausted IEG
27406,CD4+ Activated IEG
27407,CD8A+ Exhausted IEG
27408,CD8A+ Exhausted
27409,CD4+ Activated IEG
27410,NK HSP+
27411,CD8A+ Tissue-resident
27412,CD4+ Activated IEG
27413,CD4+ Activated IEG
27414,CD4+ Activated IEG
27415,CD8A+ Exhausted
27416,NK HSP+
27417,CD4+ Activated IEG
27418,CD8A+ Exhausted IEG
27419,CD8A+ Exhausted IEG
27420,CD8A+ Tissue-resident
27421,CD8A+ Exhausted
27422,CD45- Myofibroblast
27423,CD4+ Activated IEG
27424,CD8A+ Tissue-resident
27425,CD8A+ NK-like
27426,CD8A+ Tissue-resident
27427,CD4+ Activated IEG
27428,CD8A+ Exhausted IEG
27429,CD45- Myofibroblast
27430,CD4+ Activated IEG
27431,CD4+ Activated IEG
27432,CD8A+ Tissue-resident
27433,CD4+ Activated IEG
27434,CD4+ Activated IEG
27435,CD8A+ Tissue-resident
27436,CD4+ Activated IEG
27437,CD8A+ Exhausted
27438,NK HSP+
27439,CD8A+ Exhausted IEG
27440,CD8A+ Tissue-resident
27441,CD4+ Activated IEG
27442,CD4+ Activated IEG
27443,CD8A+ Tissue-resident
27444,CD8A+ Exhausted
27445,NK HSP+
27446,CD4+ Activated IEG
27447,CD4+ Treg
27448,CD8A+ Tissue-resident
27449,NK HSP+
27450,CD8A+ Exhausted IEG
27451,CD4+ Activated IEG
27452,CD8A+ Exhausted IEG
27453,CD4+ Activated IEG
27454,CD8A+ Exhausted IEG
27455,CD8A+ Exhausted
27456,CD8A+ Exhausted IEG
27457,CD8A+ Exhausted IEG
27458,CD8A+ Exhausted IEG
27459,CD4+ Activated IEG
27460,CD4+ Activated IEG
27461,CD8A+ Proliferating
27462,CD8A+ Tissue-resident
27463,CD4+ Treg
27464,CD45- Myofibroblast
27465,CD4+ Activated IEG
27466,CD45- Myofibroblast
27467,CD4+ Activated IEG
27468,CD45- PAX8+ renal epithelium
27469,CD4+ Activated IEG
27470,CD14+/CD16+ Monocyte
27471,CD4+ Activated IEG
27472,CD4+ Activated IEG
27473,CD8A+ Exhausted IEG
27474,CD8A+ Exhausted IEG
27475,CD4+ Activated IEG
27476,CD8A+ Proliferating
27477,CD4+ Activated IEG
27478,CD45- ccRCC CA9+
27479,NK HSP+
27480,CD14+/CD16+ Monocyte
27481,CD4+ Activated IEG
27482,CD4+ Activated IEG
27483,CD45- Myofibroblast
27484,CD8A+ Exhausted IEG
27485,CD4+ Activated IEG
27486,NK HSP+
27487,CD4+ Activated IEG
27488,cDC2
27489,CD8A+ Tissue-resident
27490,CD4+ Activated IEG
27491,CD4+ Activated IEG
27492,NK HSP+
27493,CD4+ Effector
27494,CD4+ Activated IEG
27495,CD4+ Activated IEG
27496,CD8A+ Exhausted IEG
27497,CD4+ Activated IEG
27498,CD4+ Activated IEG
27499,CD4+ Treg
27500,CD8A+ Exhausted IEG
27501,CD8A+ Exhausted IEG
27502,CD8A+ Exhausted IEG
27503,CD4+ Activated IEG
27504,CD8A+ Exhausted IEG
27505,CD45- ccRCC CA9+
27506,CD4+ Activated IEG
27507,CD8A+ Exhausted IEG
27508,CD8A+ Tissue-resident
27509,CD45- Myofibroblast
27510,CD45- Myofibroblast
27511,CD4+ Activated IEG
27512,CD8A+ Tissue-resident
27513,CD8A+ Tissue-resident
27514,CD8A+ Exhausted IEG
27515,CD8A+ Exhausted
27516,CD8A+ Exhausted IEG
27517,CD8A+ Tissue-resident
27518,CD8A+ Exhausted IEG
27519,CD14+/CD16+ Monocyte
27520,NK HSP+
27521,CD8A+ Exhausted
27522,CD4+ Activated IEG
27523,CD14+/CD16+ Monocyte
27524,CD4+ Activated IEG
27525,CD45- Myofibroblast
27526,CD8A+ Exhausted IEG
27527,CD45- Myofibroblast
27528,CD8A+ Tissue-resident
27529,CD4+ Activated IEG
27530,CD8A+ Tissue-resident
27531,CD14+/CD16+ Monocyte
27532,CD8A+ Exhausted
27533,CD4+ Activated IEG
27534,CD4+ Activated IEG
27535,CD8A+ Exhausted IEG
27536,CD8A+ Exhausted IEG
27537,CD4+ Effector
27538,CD8A+ Tissue-resident
27539,CD8A+ Proliferating
27540,CD8A+ Exhausted IEG
27541,CD14+/CD16+ Monocyte
27542,CD45- Myofibroblast
27543,CD8A+ Tissue-resident
27544,CD4+ Activated IEG
27545,CD4+ Activated IEG
27546,CD8A+ Exhausted IEG
27547,CD14+/CD16+ Monocyte
27548,CD4+ Activated IEG
27549,CD14+/CD16+ Monocyte
27550,CD4+ Activated IEG
27551,NK HSP+
27552,CD8A+ Exhausted IEG
27553,CD4+ Activated IEG
27554,CD8A+ Exhausted
27555,CD8A+ Proliferating
27556,CD8A+ Proliferating
27557,CD4+ Activated IEG
27558,CD8A+ Exhausted IEG
27559,CD8A+ Exhausted IEG
27560,CD8A+ Exhausted
27561,CD8A+ Exhausted IEG
27562,CD4+ Activated IEG
27563,CD8A+ Tissue-resident
27564,NK HSP+
27565,CD4+ Activated IEG
27566,CD45- Myofibroblast
27567,NK HSP+
27568,CD4+ Activated IEG
27569,CD4+ Activated IEG
27570,NK HSP+
27571,CD4+ Activated IEG
27572,CD4+ Activated IEG
27573,CD8A+ Tissue-resident
27574,CD8A+ Tissue-resident
27575,CD4+ Activated IEG
27576,CD8A+ Exhausted IEG
27577,CD8A+ Exhausted
27578,CD8A+ Proliferating
27579,CD8A+ Exhausted IEG
27580,CD14+/CD16+ Monocyte
27581,CD4+ Activated IEG
27582,CD14+/CD16+ Monocyte
27583,CD45- Myofibroblast
27584,CD4+ Activated IEG
27585,CD8A+ Exhausted IEG
27586,CD4+ Activated IEG
27587,CD8A+ Exhausted IEG
27588,CD8A+ Tissue-resident
27589,CD8A+ Exhausted IEG
27590,CD8A+ Exhausted IEG
27591,CD8A+ Tissue-resident
27592,CD4+ Activated IEG
27593,CD8A+ Exhausted IEG
27594,NK HSP+
27595,CD8A+ Exhausted IEG
27596,CD4+ Activated IEG
27597,CD8A+ Exhausted IEG
27598,CD8A+ Proliferating
27599,CD8A+ Exhausted IEG
27600,CD4+ Activated IEG
27601,CD8A+ Exhausted IEG
27602,CD4+ Activated IEG
27603,CD8A+ Exhausted IEG
27604,CD45- PAX8+ renal epithelium
27605,CD4+ Treg
27606,CD4+ Activated IEG
27607,CD14+ Monocyte
27608,CD14+/CD16+ Monocyte
27609,CD45- Myofibroblast
27610,CD14+/CD16+ Monocyte
27611,CD4+ Activated IEG
27612,CD4+ Activated IEG
27613,CD8A+ Exhausted IEG
27614,NK HSP+
27615,CD8A+ Exhausted
27616,CD14+/CD16+ Monocyte
27617,CD45- Vascular Endothelium
27618,CD8A+ Exhausted IEG
27619,CD8A+ Exhausted IEG
27620,CD8A+ Exhausted IEG
27621,NK HSP+
27622,NK HSP+
27623,CD45- Myofibroblast
27624,CD4+ Activated IEG
27625,CD8A+ Exhausted IEG
27626,CD8A+ Exhausted IEG
27627,CD45- Myofibroblast
27628,CD8A+ Exhausted IEG
27629,CD14+ Monocyte
27630,CD4+ Activated IEG
27631,CD4+ Activated IEG
27632,CD45- Vascular Endothelium
27633,CD8A+ Exhausted IEG
27634,CD8A+ Tissue-resident
27635,CD8A+ Exhausted
27636,CD8A+ Exhausted IEG
27637,CD14+/CD16+ Monocyte
27638,CD8A+ Exhausted IEG
27639,CD4+ Activated IEG
27640,CD8A+ Exhausted IEG
27641,CD8A+ Exhausted
27642,NK HSP+
27643,CD4+ Treg
27644,CD45- PAX8+ renal epithelium
27645,CD8A+ Proliferating
27646,CD45- Myofibroblast
27647,CD4+ Activated IEG
27648,CD4+ Activated IEG
27649,CD8A+ Exhausted IEG
27650,CD4+ Activated IEG
27651,CD14+ Monocyte
27652,CD4+ Activated IEG
27653,CD4+ Effector
27654,CD8A+ Exhausted
27655,CD8A+ Exhausted IEG
27656,CD8A+ Exhausted IEG
27657,CD14+/CD16+ Monocyte
27658,NK HSP+
27659,CD4+ Activated IEG
27660,CD4+ Activated IEG
27661,CD4+ Activated IEG
27662,NK HSP+
27663,TAM HLAint
27664,CD4+ Activated IEG
27665,CD8A+ Exhausted IEG
27666,CD8A+ Exhausted IEG
27667,CD4+ Treg
27668,CD8A+ Tissue-resident
27669,CD14+/CD16+ Monocyte
27670,CD8A+ Exhausted
27671,CD45- Myofibroblast
27672,CD8A+ Exhausted IEG
27673,CD4+ Activated IEG
27674,CD8A+ Exhausted IEG
27675,NK HSP+
27676,CD8A+ Exhausted IEG
27677,CD4+ Activated IEG
27678,CD4+ Activated IEG
27679,NK HSP+
27680,CD4+ Treg
27681,CD4+ Activated IEG
27682,CD4+ Effector
27683,CD4+ Activated IEG
27684,CD8A+ Tissue-resident
27685,CD8A+ Exhausted IEG
27686,CD8A+ Exhausted IEG
27687,CD8A+ Exhausted IEG
27688,CD4+ Activated IEG
27689,CD4+ Activated IEG
27690,CD8A+ Tissue-resident
27691,CD4+ Activated IEG
27692,CD4+ Activated IEG
27693,NK HSP+
27694,CD8A+ Tissue-resident
27695,CD4+ Activated IEG
27696,NK HSP+
27697,CD8A+ Exhausted IEG
27698,CD8A+ Exhausted IEG
27699,CD14+/CD16+ Monocyte
27700,CD8A+ Exhausted IEG
27701,CD8A+ Exhausted IEG
27702,CD4+ Activated IEG
27703,CD8A+ Exhausted IEG
27704,CD45- Myofibroblast
27705,CD8A+ Exhausted
27706,CD4+ Activated IEG
27707,NK HSP+
27708,CD8A+ Exhausted IEG
27709,CD8A+ Tissue-resident
27710,CD4+ Effector
27711,CD14+/CD16+ Monocyte
27712,CD8A+ NK-like
27713,CD8A+ Exhausted
27714,CD4+ Activated IEG
27715,CD45- Vascular Endothelium
27716,CD8A+ Exhausted IEG
27717,CD4+ Proliferating
27718,CD45- Myofibroblast
27719,CD8A+ Exhausted IEG
27720,CD8A+ Exhausted IEG
27721,CD8A+ Tissue-resident
27722,CD45- PAX8+ renal epithelium
27723,CD4+ Activated IEG
27724,cDC2
27725,CD8A+ Exhausted IEG
27726,CD4+ Effector
27727,CD8A+ Tissue-resident
27728,CD8A+ Exhausted IEG
27729,CD8A+ Exhausted IEG
27730,CD8A+ Exhausted IEG
27731,CD8A+ Exhausted IEG
27732,CD4+ Activated IEG
27733,CD4+ Activated IEG
27734,CD8A+ Tissue-resident
27735,CD45- Myofibroblast
27736,CD8A+ Tissue-resident
27737,CD8A+ Tissue-resident
27738,CD8A+ Exhausted IEG
27739,CD14+/CD16+ Monocyte
27740,CD4+ Activated IEG
27741,CD45- ccRCC CA9+
27742,CD4+ Activated IEG
27743,CD8A+ Exhausted
27744,NK HSP+
27745,CD8A+ Exhausted IEG
27746,CD8A+ Tissue-resident
27747,CD8A+ Exhausted
27748,CD8A+ Exhausted IEG
27749,CD4+ Activated IEG
27750,CD14+/CD16+ Monocyte
27751,CD4+ Activated IEG
27752,CD45- Myofibroblast
27753,CD4+ Effector
27754,CD4+ Activated IEG
27755,CD8A+ Exhausted IEG
27756,NK HSP+
27757,CD8A+ Tissue-resident
27758,CD8A+ Exhausted IEG
27759,CD4+ Activated IEG
27760,CD8A+ Exhausted
27761,CD4+ Activated IEG
27762,CD8A+ Tissue-resident
27763,CD8A+ Tissue-resident
27764,CD4+ Activated IEG
27765,CD45- Myofibroblast
27766,CD14+/CD16+ Monocyte
27767,CD8A+ Exhausted IEG
27768,CD8A+ Exhausted IEG
27769,CD4+ Activated IEG
27770,CD4+ Activated IEG
27771,NK HSP+
27772,CD8A+ Tissue-resident
27773,CD8A+ Exhausted IEG
27774,CD4+ Activated IEG
27775,CD4+ Activated IEG
27776,CD8A+ Proliferating
27777,NK HSP+
27778,CD4+ Activated IEG
27779,CD4+ Activated IEG
27780,CD8A+ Exhausted IEG
27781,CD4+ Activated IEG
27782,CD8A+ Tissue-resident
27783,CD4+ Activated IEG
27784,CD4+ Activated IEG
27785,CD4+ Activated IEG
27786,CD8A+ Exhausted IEG
27787,NK HSP+
27788,CD4+ Activated IEG
27789,CD14+/CD16+ Monocyte
27790,CD4+ Activated IEG
27791,CD14+/CD16+ Monocyte
27792,CD4+ Activated IEG
27793,CD4+ Activated IEG
27794,CD45- Myofibroblast
27795,NK HSP+
27796,CD8A+ Exhausted IEG
27797,CD8A+ Exhausted IEG
27798,CD8A+ Exhausted IEG
27799,CD4+ Effector
27800,CD4+ Activated IEG
27801,CD4+ Activated IEG
27802,CD8A+ Tissue-resident
27803,CD8A+ Exhausted IEG
27804,NK HSP+
27805,CD45- Myofibroblast
27806,CD8A+ Tissue-resident
27807,CD4+ Activated IEG
27808,CD4+ Activated IEG
27809,CD4+ Activated IEG
27810,CD4+ Activated IEG
27811,CD8A+ Exhausted IEG
27812,CD45- PAX8+ renal epithelium
27813,CD4+ Activated IEG
27814,CD8A+ Proliferating
27815,CD4+ Activated IEG
27816,CD8A+ Exhausted IEG
27817,CD45- PAX8+ renal epithelium
27818,CD4+ Activated IEG
27819,CD4+ Activated IEG
27820,NK HSP+
27821,CD14+/CD16+ Monocyte
27822,CD8A+ Exhausted IEG
27823,CD8A+ Exhausted IEG
27824,CD45- PAX8+ renal epithelium
27825,CD45- Vascular Endothelium
27826,CD8A+ Exhausted IEG
27827,CD45- Myofibroblast
27828,CD4+ Activated IEG
27829,CD4+ Activated IEG
27830,CD8A+ Exhausted IEG
27831,CD8A+ NK-like
27832,CD14+ Monocyte
27833,CD8A+ Exhausted IEG
27834,CD14+/CD16+ Monocyte
27835,CD8A+ Tissue-resident
27836,CD4+ Activated IEG
27837,CD8A+ Exhausted IEG
27838,CD8A+ Exhausted IEG
27839,CD8A+ Exhausted IEG
27840,CD8A+ Exhausted
27841,CD4+ Activated IEG
27842,CD4+ Activated IEG
27843,CD8A+ Exhausted IEG
27844,CD14+/CD16+ Monocyte
27845,CD4+ Activated IEG
27846,CD4+ Activated IEG
27847,CD4+ Activated IEG
27848,NK HSP+
27849,CD8A+ Tissue-resident
27850,CD4+ Activated IEG
27851,NK HSP+
27852,CD4+ Activated IEG
27853,CD8A+ Exhausted IEG
27854,CD4+ Activated IEG
27855,CD8A+ Exhausted IEG
27856,CD4+ Activated IEG
27857,CD4+ Activated IEG
27858,CD45- Myofibroblast
27859,CD4+ Activated IEG
27860,CD14+/CD16+ Monocyte
27861,CD4+ Activated IEG
27862,CD8A+ Exhausted IEG
27863,CD45- Myofibroblast
27864,CD8A+ Exhausted IEG
27865,CD8A+ Tissue-resident
27866,CD4+ Activated IEG
27867,CD4+ Activated IEG
27868,CD8A+ Exhausted IEG
27869,CD8A+ Exhausted IEG
27870,CD8A+ Exhausted IEG
27871,CD8A+ Exhausted IEG
27872,CD4+ Activated IEG
27873,CD8A+ Exhausted IEG
27874,CD4+ Activated IEG
27875,CD8A+ Tissue-resident
27876,NK HSP+
27877,CD4+ Activated IEG
27878,CD8A+ Exhausted IEG
27879,CD4+ Activated IEG
27880,CD8A+ Tissue-resident
27881,CD8A+ Exhausted IEG
27882,CD8A+ Exhausted IEG
27883,CD8A+ Tissue-resident
27884,CD4+ Activated IEG
27885,CD14+/CD16+ Monocyte
27886,CD8A+ Tissue-resident
27887,CD45- PAX8+ renal epithelium
27888,CD4+ Effector
27889,CD4+ Activated IEG
27890,CD45- Myofibroblast
27891,CD8A+ Tissue-resident
27892,CD4+ Activated IEG
27893,NK HSP+
27894,CD8A+ Tissue-resident
27895,CD8A+ Tissue-resident
27896,CD8A+ Exhausted IEG
27897,CD14+/CD16+ Monocyte
27898,CD4+ Activated IEG
27899,CD4+ Activated IEG
27900,CD8A+ Tissue-resident
27901,CD8A+ Tissue-resident
27902,CD8A+ Proliferating
27903,CD14+/CD16+ Monocyte
27904,CD14+/CD16+ Monocyte
27905,CD4+ Activated IEG
27906,CD4+ Effector
27907,CD4+ Activated IEG
27908,CD14+/CD16+ Monocyte
27909,CD45- ccRCC CA9+
27910,CD45- Myofibroblast
27911,CD8A+ Exhausted IEG
27912,CD8A+ Exhausted IEG
27913,CD45- Myofibroblast
27914,CD45- Myofibroblast
27915,CD8A+ Exhausted IEG
27916,CD8A+ Exhausted IEG
27917,CD4+ Activated IEG
27918,Conventional NK
27919,CD45- Myofibroblast
27920,CD8A+ Exhausted IEG
27921,CD8A+ Exhausted IEG
27922,CD14+/CD16+ Monocyte
27923,CD8A+ Exhausted IEG
27924,CD4+ Activated IEG
27925,CD8A+ Tissue-resident
27926,CD4+ Activated IEG
27927,CD4+ Activated IEG
27928,CD45- Myofibroblast
27929,CD8A+ Tissue-resident
27930,CD14+/CD16+ Monocyte
27931,CD4+ Activated IEG
27932,CD4+ Proliferating
27933,CD4+ Activated IEG
27934,CD4+ Effector
27935,CD4+ Activated IEG
27936,CD4+ Activated IEG
27937,CD8A+ Proliferating
27938,CD8A+ Exhausted
27939,CD4+ Activated IEG
27940,CD4+ Activated IEG
27941,CD4+ Activated IEG
27942,CD4+ Activated IEG
27943,CD8A+ Exhausted IEG
27944,CD4+ Activated IEG
27945,CD4+ Activated IEG
27946,CD8A+ Proliferating
27947,CD8A+ Exhausted IEG
27948,CD14+/CD16+ Monocyte
27949,CD4+ Treg
27950,CD4+ Activated IEG
27951,CD4+ Activated IEG
27952,CD45- Myofibroblast
27953,CD4+ Activated IEG
27954,CD4+ Activated IEG
27955,CD8A+ Exhausted IEG
27956,CD8A+ Exhausted IEG
27957,CD8A+ Exhausted
27958,CD45- PAX8+ renal epithelium
27959,CD8A+ Exhausted IEG
27960,CD8A+ Exhausted IEG
27961,CD8A+ Tissue-resident
27962,CD4+ Activated IEG
27963,CD4+ Activated IEG
27964,CD8A+ Tissue-resident
27965,CD4+ Activated IEG
27966,CD4+ Activated IEG
27967,CD4+ Activated IEG
27968,CD4+ Activated IEG
27969,NK HSP+
27970,CD14+/CD16+ Monocyte
27971,CD4+ Activated IEG
27972,CD8A+ Exhausted IEG
27973,CD4+ Activated IEG
27974,CD4+ Activated IEG
27975,CD4+ Activated IEG
27976,CD8A+ Exhausted IEG
27977,CD4+ Activated IEG
27978,CD45- Myofibroblast
27979,CD45- Myofibroblast
27980,CD8A+ Tissue-resident
27981,CD8A+ Tissue-resident
27982,CD4+ Activated IEG
27983,CD8A+ Exhausted IEG
27984,CD8A+ Proliferating
27985,CD4+ Activated IEG
27986,CD8A+ Exhausted IEG
27987,CD8A+ Exhausted IEG
27988,CD14+ Monocyte
27989,CD4+ Activated IEG
27990,CD4+ Activated IEG
27991,NK HSP+
27992,CD8A+ Exhausted IEG
27993,NK HSP+
27994,CD8A+ Tissue-resident
27995,CD45- PAX8+ renal epithelium
27996,CD8A+ Tissue-resident
27997,CD4+ Activated IEG
27998,CD8A+ Tissue-resident
27999,CD4+ Activated IEG
28000,CD45- PAX8+ renal epithelium
28001,CD8A+ Exhausted IEG
28002,CD45- PAX8+ renal epithelium
28003,CD4+ Activated IEG
28004,CD8A+ Exhausted IEG
28005,CD8A+ Exhausted IEG
28006,CD4+ Activated IEG
28007,CD4+ Activated IEG
28008,CD14+/CD16+ Monocyte
28009,CD45- ccRCC CA9+
28010,CD4+ Activated IEG
28011,CD4+ Activated IEG
28012,CD14+/CD16+ Monocyte
28013,CD14+/CD16+ Monocyte
28014,CD8A+ Exhausted IEG
28015,CD8A+ Exhausted IEG
28016,CD14+/CD16+ Monocyte
28017,NK HSP+
28018,NK HSP+
28019,CD45- Myofibroblast
28020,CD8A+ Exhausted IEG
28021,CD8A+ Exhausted IEG
28022,CD4+ Activated IEG
28023,CD8A+ Exhausted IEG
28024,CD45- Myofibroblast
28025,CD8A+ Proliferating
28026,CD14+/CD16+ Monocyte
28027,CD14+/CD16+ Monocyte
28028,CD4+ Activated IEG
28029,CD8A+ Exhausted IEG
28030,CD4+ Activated IEG
28031,CD45- Myofibroblast
28032,CD14+/CD16+ Monocyte
28033,CD4+ Activated IEG
28034,CD4+ Activated IEG
28035,CD8A+ Exhausted
28036,CD4+ Activated IEG
28037,CD45- ccRCC CA9+
28038,CD8A+ Exhausted IEG
28039,CD4+ Activated IEG
28040,CD8A+ Proliferating
28041,CD14+/CD16+ Monocyte
28042,CD8A+ Exhausted IEG
28043,CD4+ Naive
28044,CD8A+ Exhausted IEG
28045,CD4+ Activated IEG
28046,CD4+ Activated IEG
28047,CD4+ Activated IEG
28048,CD4+ Activated IEG
28049,CD8A+ Exhausted IEG
28050,CD8A+ Exhausted
28051,CD14+/CD16+ Monocyte
28052,CD4+ Treg
28053,CD45- Myofibroblast
28054,CD8A+ Exhausted IEG
28055,CD4+ Activated IEG
28056,CD8A+ Exhausted
28057,CD8A+ Exhausted IEG
28058,CD4+ Activated IEG
28059,CD4+ Activated IEG
28060,CD8A+ Exhausted
28061,CD8A+ Tissue-resident
28062,CD8A+ Exhausted IEG
28063,CD4+ Activated IEG
28064,CD8A+ Exhausted IEG
28065,CD4+ Activated IEG
28066,NK HSP+
28067,CD8A+ Exhausted IEG
28068,CD8A+ Tissue-resident
28069,NK HSP+
28070,CD4+ Activated IEG
28071,CD4+ Treg
28072,CD4+ Activated IEG
28073,CD8A+ Exhausted IEG
28074,NK HSP+
28075,CD4+ Effector
28076,CD4+ Effector
28077,CD4+ Activated IEG
28078,CD8A+ Exhausted IEG
28079,CD4+ Activated IEG
28080,CD4+ Activated IEG
28081,CD14+/CD16+ Monocyte
28082,CD4+ Activated IEG
28083,CD8A+ Exhausted IEG
28084,CD14+/CD16+ Monocyte
28085,CD4+ Activated IEG
28086,CD8A+ Exhausted IEG
28087,NK HSP+
28088,CD8A+ Exhausted IEG
28089,CD4+ Activated IEG
28090,CD4+ Activated IEG
28091,CD8A+ Exhausted IEG
28092,CD4+ Activated IEG
28093,CD4+ Activated IEG
28094,CD45- Myofibroblast
28095,CD14+/CD16+ Monocyte
28096,CD45- PAX8+ renal epithelium
28097,NK HSP+
28098,CD45- PAX8+ renal epithelium
28099,CD4+ Activated IEG
28100,CD8A+ Tissue-resident
28101,CD8A+ Exhausted IEG
28102,CD4+ Activated IEG
28103,CD4+ Activated IEG
28104,CD8A+ Tissue-resident
28105,CD8A+ Exhausted
28106,CD4+ Activated IEG
28107,CD4+ Activated IEG
28108,CD8A+ Exhausted
28109,CD8A+ Exhausted IEG
28110,CD4+ Naive
28111,CD8A+ Tissue-resident
28112,CD8A+ Tissue-resident
28113,CD4+ Activated IEG
28114,CD8A+ Exhausted IEG
28115,CD8A+ Tissue-resident
28116,Conventional NK
28117,CD8A+ Exhausted IEG
28118,CD8A+ Exhausted
28119,CD8A+ Exhausted IEG
28120,CD4+ Activated IEG
28121,CD45- Myofibroblast
28122,CD14+/CD16+ Monocyte
28123,CD8A+ Exhausted
28124,CD8A+ Exhausted
28125,NK HSP+
28126,CD8A+ Exhausted IEG
28127,NK HSP+
28128,CD45- Myofibroblast
28129,CD8A+ Exhausted IEG
28130,CD4+ Activated IEG
28131,CD4+ Activated IEG
28132,CD8A+ Proliferating
28133,CD4+ Activated IEG
28134,CD8A+ Exhausted IEG
28135,CD45- Myofibroblast
28136,CD8A+ Exhausted IEG
28137,CD4+ Activated IEG
28138,CD8A+ Exhausted IEG
28139,CD4+ Activated IEG
28140,CD4+ Activated IEG
28141,CD8A+ Exhausted IEG
28142,CD45- Myofibroblast
28143,CD8A+ Exhausted IEG
28144,CD8A+ Tissue-resident
28145,CD4+ Activated IEG
28146,CD8A+ Exhausted IEG
28147,CD4+ Activated IEG
28148,CD4+ Effector
28149,CD4+ Activated IEG
28150,CD4+ Activated IEG
28151,cDC2
28152,CD45- Myofibroblast
28153,CD8A+ Tissue-resident
28154,CD14+/CD16+ Monocyte
28155,CD8A+ Exhausted
28156,CD14+/CD16+ Monocyte
28157,CD8A+ Tissue-resident
28158,CD8A+ Tissue-resident
28159,CD4+ Activated IEG
28160,CD4+ Activated IEG
28161,CD8A+ Tissue-resident
28162,CD4+ Activated IEG
28163,CD14+/CD16+ Monocyte
28164,NK HSP+
28165,CD14+/CD16+ Monocyte
28166,CD8A+ Exhausted IEG
28167,CD4+ Activated IEG
28168,CD4+ Activated IEG
28169,CD8A+ Exhausted IEG
28170,CD14+/CD16+ Monocyte
28171,TAM HLAint
28172,CD45- Myofibroblast
28173,CD45- Myofibroblast
28174,CD8A+ Exhausted
28175,CD8A+ Exhausted IEG
28176,CD4+ Activated IEG
28177,CD8A+ Exhausted IEG
28178,CD14+/CD16+ Monocyte
28179,NK HSP+
28180,CD45- Myofibroblast
28181,CD4+ Activated IEG
28182,CD8A+ Exhausted
28183,CD4+ Activated IEG
28184,CD8A+ Exhausted IEG
28185,CD4+ Activated IEG
28186,CD8A+ Exhausted IEG
28187,CD45- Myofibroblast
28188,CD4+ Activated IEG
28189,CD8A+ Tissue-resident
28190,NK HSP+
28191,NK HSP+
28192,CD45- Myofibroblast
28193,CD8A+ Proliferating
28194,CD8A+ Tissue-resident
28195,CD45- PAX8+ renal epithelium
28196,CD8A+ Exhausted IEG
28197,CD4+ Activated IEG
28198,CD4+ Activated IEG
28199,NK HSP+
28200,CD4+ Activated IEG
28201,CD14+/CD16+ Monocyte
28202,NK HSP+
28203,CD14+/CD16+ Monocyte
28204,CD45- Myofibroblast
28205,CD8A+ Tissue-resident
28206,CD8A+ Exhausted
28207,CD4+ Treg
28208,NK HSP+
28209,CD4+ Activated IEG
28210,Conventional NK
28211,CD8A+ Tissue-resident
28212,CD14+/CD16+ Monocyte
28213,CD45- Vascular Endothelium
28214,CD45- Vascular Endothelium
28215,CD8A+ Tissue-resident
28216,Conventional NK
28217,CD14+/CD16+ Monocyte
28218,NK HSP+
28219,CD8A+ Tissue-resident
28220,Conventional NK
28221,CD14+/CD16+ Monocyte
28222,CD14+/CD16+ Monocyte
28223,NK HSP+
28224,CD8A+ Proliferating
28225,cDC2
28226,CD45- PAX8+ renal epithelium
28227,CD14+/CD16+ Monocyte
28228,B cell
28229,CD45- Vascular Endothelium
28230,CD14+/CD16+ Monocyte
28231,CD4+ Activated IEG
28232,CD45- Vascular Endothelium
28233,CD14+/CD16+ Monocyte
28234,Conventional NK
28235,CD14+/CD16+ Monocyte
28236,CD14+/CD16+ Monocyte
